dataset,method,sequence,frames,evaluated_frames,absent_frames,success_auc,average_overlap,sr_0.50,sr_0.75,precision_10px,precision_20px,normalized_precision_auc,mean_iou,mean_center_error_px,median_center_error_px,rmse_center_error_px,iou_lt_0.1
UAV2UAV,SUTrack-B224,test7_DJI_0106_1,768,768,0,0.8886408730158729,0.9072053790000923,0.9869791666666666,0.9557291666666666,0.7942708333333334,0.9270833333333334,0.9226154003267976,0.9072053790000923,8.406086133702434,5.084079626778308,15.713149021391565,0.006510416666666667
UAV2UAV,SUTrack-B224,test7_DJI_0106_2,243,243,0,0.8728199098569469,0.8907773867780652,0.9794238683127572,0.934156378600823,0.8683127572016461,0.9465020576131687,0.9174534011135319,0.8907773867780652,6.396703514282187,4.081883450953549,10.196639242502892,0.0
UAV2UAV,SUTrack-B224,test7_DJI_0106_3,446,446,0,0.8821268417680976,0.9003870711369478,1.0,0.9192825112107623,0.8632286995515696,0.9596412556053812,0.9111052492745978,0.9003870711369478,5.662393841522669,3.7897095383884505,8.138607074976653,0.0
UAV2UAV,SUTrack-B224,test8_DJI_0107_1,1683,1683,0,0.6363353422176952,0.6384836549773366,0.768270944741533,0.5923945335710041,0.5246583481877599,0.7296494355317885,0.709890135495672,0.6384836549773366,270.65790662818193,9.501609238685669,619.2836992079376,0.2073677956030897
UAV2UAV,SUTrack-B224,test8_DJI_0107_2,251,251,0,0.7727186492126732,0.7852546339101627,1.0,0.7450199203187251,0.7689243027888446,0.9880478087649402,0.91289742988829,0.7852546339101627,7.191006244604987,6.566230090378102,8.190980761558665,0.0
UAV2UAV,SUTrack-B224,test8_DJI_0107_3,459,459,0,0.8306878306878306,0.84730526305055,1.0,0.9433551198257081,0.4400871459694989,0.9019607843137255,0.9320346875133495,0.84730526305055,11.841350349377306,11.059543556279085,13.60414517489502,0.0
UAV2UAV,SUTrack-B224,test9_DJI_0192_1,171,171,0,0.7783347257031468,0.7923430403971263,1.0,0.7076023391812866,1.0,1.0,0.9270725834193326,0.7923430403971263,1.8422818680147075,1.8190709122250708,2.0468531634459572,0.0
UAV2UAV,SUTrack-B224,test9_DJI_0192_2,52,52,0,0.7600732600732601,0.7722004300307971,1.0,0.6538461538461539,0.5961538461538461,0.8076923076923077,0.863499245852187,0.7722004300307971,10.30669545164626,6.5047232657330465,13.034410713220423,0.0
UAV2UAV,SUTrack-B224,test9_DJI_0192_3,1001,1001,0,0.5915988773131629,0.5959948265138838,0.7242757242757243,0.17382617382617382,0.6343656343656343,0.9200799200799201,0.8492683786801435,0.5959948265138838,10.303945872280792,8.29659114838887,13.763770266752182,0.000999000999000999
UAV2UAV,SUTrack-B224,test9_DJI_0192_4,4521,4521,0,0.632656070612275,0.6391935852470789,0.856226498562265,0.22627737226277372,0.8907321389073214,0.9896040698960407,0.8514297114554735,0.6391935852470789,5.282718151947017,3.9897423791036424,8.984360607682998,0.0019907100199071004
UAV2UAV,SUTrack-B224,test9_DJI_0192_5,1669,1669,0,0.4912265685183602,0.4907291816521044,0.49251048532055125,0.005991611743559017,0.7130017974835231,0.9544637507489515,0.8497867691114792,0.4907291816521044,9.756540522205905,6.907133812559419,17.782791375353717,0.018573996405032954
UAV2UAV,SUTrack-B224,test10_jl_hbd_1,389,389,0,0.7473374954094748,0.7597432727948458,0.8868894601542416,0.6786632390745502,0.8508997429305912,0.9485861182519281,0.7870356368768587,0.7597432727948458,10.78619370407518,2.7277638104443054,42.60577273696661,0.028277634961439587
UAV2UAV,SUTrack-B224,test10_jl_hbd_2,137,137,0,0.713590545707334,0.7265064571037309,0.8613138686131386,0.6131386861313869,0.7664233576642335,0.8759124087591241,0.7429511950765706,0.7265064571037309,7.839568217982047,4.348928921127503,12.329639362779245,0.0072992700729927005
UAV2UAV,SUTrack-B224,test10_jl_hbd_3,742,742,0,0.7637658837119753,0.7766389232726187,0.9123989218328841,0.7088948787061995,0.807277628032345,0.9191374663072777,0.784657259130067,0.7766389232726187,6.716938093625145,2.7013086408435525,12.554087406285689,0.008086253369272238
